3M Innovative Properties Company,3m.com/
ABB AB,abb.com/
AbbVie Inc.,abbvie.com/
Abengoa Bioenergy New Technologies,abengoa.com/
Roche Diagnostics GmbH,accu-chek.com/
AccuRay Corporation,accuray.com/
adidas AG,adidas.com/us/
Archer Daniels Midland Company,adm.com/
Adobe Systems Incorporated,adobe.com/
Adtran,adtran.com/
CMC ICOS BIOLOGICS,agcbio.com/
AGC Flat Glass North America,agcglass.com/
Agilent Technologies,agilent.com/
AIR PRODUCTS AND CHEMICALS,airproducts.com/
Alcatel Lucent,al-enterprise.com/
Alcon Research,alcon.com/
Alencon Acquisition Co.,alenconsystems.com/
Alexion Pharmaceuticals,alexion.com/
Allison Transmission,allisontransmission.com/
Alnylam Pharmaceuticals,alnylam.com/
ALSTOM Technology Ltd,alstom.com/
Amgen Fremont Inc.,amgen.com/
Amgen Inc.,amgen.com/
Amkor Technology,amkor.com/
Analog Devices,analog.com/en/index.html
Andritz Inc.,andritz.com/group-en
Apple Inc.,apple.com/
Applied Materials,appliedmaterials.com/
APPLIED MATERIALS ISRAEL LTD.,appliedmaterials.com/
ARBOR THERAPEUTICS,arborpharma.com/
Arkema Inc.,arkema.com/en/
AstenJohnson,astenjohnson.com/
Atotech Deutschland GmbH,atotech.com/
Atrium Medical Corporation,atriummed.com/
AT&T Corporation,att.com/
Avery Dennison Corporation,averydennison.com/
Avon Products,avon.com/
BAE Systems Information and Electronic Systems Integration Inc.,baesystems.com/en-us/our-company/inc-businesses/electronic-systems
BASF SE,basf.com/
BASF,basf.com/
BASF Corporation ,basf.com/
Battelle Memorial Institute,battelle.org/
Battelle Energy Alliance,battelle.org/laboratory-management
Bausch & Lomb Incorporated,bausch.com/
Baxter Healthcare SA,baxter.com/
Baxter International Inc.,baxter.com/
Bayer Materialscience LLC,bayer.com/
Becton,bd.com/
Bell Helicopter Textron Inc.,bellflight.com/
Bemis Company,bemis.com/
Baker Hughes Incorporated,bhge.com/
Boehringer Ingelheim Vetmedica GmbH,bi-vetmedica.com/
Bio-Rad Laboratories,bio-rad.com/
Biocon Limited,biocon.com/
Biosense Webster (Israel) Ltd.,biosensewebster.com/
BlackBerry Limited,blackberry.com/
Bristol-Myers Squibb Company,bms.com/
Boehringer Ingelheim International GmbH,boehringer-ingelheim.com/
The Boeing Company,boeing.com/
Bostik,bostik.com/us/
Boston Scientific Scimed,bostonscientific.com/en-US/Home.html
Braun Intertec Geothermal,braunintertec.com/
Bridgestone Corporation,bridgestone.com/
Georgia-Pacific Gypsum LLC,buildgp.com/georgia-pacific-gypsum
Cabot Corporation,cabotcorp.com/
Cadence Design Systems,cadence.com/
Carestream Health,carestream.com/en/us
Cavium,cavium.com/
UTC FIRE & SECURITY CORPORATION,ccs.utc.com/ccs/en/worldwide/
Celanese Corporation,celanese.com/
Celanese International Corporation,celanese.com/
CELLTRION,celltrion.com/en/main.do
Saint-Gobain Ceramics & Plastics,ceramicmaterials.saint-gobain.com/
Certain-teed Corporation,certainteed.com/
Chemtreat,chemtreat.com/
Chevron U.S.A. Inc.,chevron.com/
Christie Digital Systems,christiedigital.com/en-us/
Cisco Technology,cisco.com/
CNH Industrial America LLC,cnhindustrial.com/en-us/Pages/Homepage.aspx
Colgate-Palmolive Company,colgatepalmolive.com/en-us
Conoco Inc.,conoco.com/
Coriant Advanced Technology,coriant.com/
Cornell Research Foundation,cornell.edu/research/
KT Corporation,corp.kt.com/eng/
Dentsply International,corporate.dentsplysirona.com/en.html
ExxonMobil Upstream Research Company,corporate.exxonmobil.com/
PPG Industries Ohio,corporate.ppg.com/Home.aspx
Chevron Phillips Chemical Company LP,cpchem.com/
CP Kelco U.S.,cpkelco.com/
CP KELCO APS,cpkelco.com/
Cree,cree.com/
Commonwealth Scientific & Industrial Research Organization,csiro.au/
Cypress Semiconductor Corp.,cypress.com/
Dana-Farber Cancer Institute,dana-farber.org/
Dana Corporation,dana.com/
Danisco US Inc.,danisco.com/food-beverages/
DEKA Products Limited Partnership,dekaresearch.com/
Delphi Technologies,delphi.com/new-delphi-technologies
Denso Corporation,denso.com/global/en/
DePuy Synthes Products,depuysynthes.com/
